																					
Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1996	10	72,204																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1996	11	47,534																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1996	12	48,471																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1997	1	38,856																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1997	2	39,576																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1997	3	136,386																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1997	4	147,904																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1997	5	174,168																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1997	6	155,386																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1997	7	102,692																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1997	8	65,351																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1997	9	33,684																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1997	10	69,000																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1997	11	46,318																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1997	12	45,161																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1998	1	18,767																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1998	2	36,233																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1998	3	145,055																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1998	4	214,218																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1998	5	211,381																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1998	6	171,690																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1998	7	102,276																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1998	8	68,798																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1998	9	39,917																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1998	10	85,341																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1998	11	65,700																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1998	12	61,015																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1999	1	28,283																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1999	2	66,494																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1999	3	131,233																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1999	4	189,381																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1999	5	186,256																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1999	6	129,026																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1999	7	118,483																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1999	8	72,797																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1999	9	41,315																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1999	10	80,502																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1999	11	61,585																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1999	12	54,080																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2000	1	23,294																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2000	2	58,541																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2000	3	136,174																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2000	4	197,397																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2000	5	178,287																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2000	6	152,014																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2000	7	91,620																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2000	8	73,042																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2000	9	50,373																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2000	10	84,591																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2000	11	64,380																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2000	12	54,463																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2001	1	46,362																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2001	2	68,814																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2001	3	152,767																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2001	4	198,162																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2001	5	190,670																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	2001	6	167,750																		
